YEAR,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ECONOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual economies,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
LDCs (Least developed countries),8.387870136,4.748908453,12.85457859,14.62740473,-3.829659817,3.874317988,-5.086269431,-3.037836466,-1.451518803,-17.98870229,-13.90143118,-2.168751294,-3.438042096,-9.761764388,-5.965014987,-2.030832831,-3.111635791,-7.519045701,0.507617239,-3.021047541,0.199041257,5.298523321,3.071388178,-2.379472902,-9.303059763,-6.160652109,-7.678349053,-29.33502286,-16.82927417,-24.36661961,-38.56555131,-31.29140093,-38.68705215,-44.23238713,-42.79434784,-38.37276205,-36.50161966,-36.16909517,-40.68951421,-38.97977246,-36.49551653,-32.39192095,-28.91450051,-33.03334935,-38.51084818,-35.76306397,-33.62928436,-29.69473532,-27.34877074,-28.60701127,-35.73960485,-31.92269813,-18.39738555,-25.90600551,-22.95792775,-27.06739184,-19.9039789,-12.06521894,-3.449627369,-3.203123057,-3.361375564,-20.05270394,-7.067969981,-6.754058628,-15.27081594,-18.46530348,-25.87366767,-37.54709056,-33.94956759,-29.5555955,-28.21851841,-31.04716075
  LDCs: Africa and Haiti,12.54179329,0.694718162,6.760675134,8.138809719,-7.55649288,3.249078832,-7.046956525,-7.871119061,-1.517198218,-17.07557497,-13.92497034,0.427598799,3.800564306,-6.23913246,-0.692942416,9.657852514,11.92267779,5.180849146,12.39757338,7.572887824,10.52084853,22.78447749,19.12279836,7.434701495,4.655458684,10.11071776,7.844751276,-18.28158684,-6.17231822,-9.839760652,-27.87411663,-18.42930401,-27.01804967,-34.8282586,-32.26682466,-24.2390067,-16.63968348,-19.96548253,-27.81729561,-27.67764261,-24.38087701,-17.66228832,-17.35565577,-22.75444981,-31.12331384,-28.05322356,-26.01260951,-23.42498086,-21.6418,-23.27772002,-32.83066881,-29.74657059,-15.18961417,-23.43465481,-21.00633038,-25.23540059,-14.05168878,-4.695693,6.634128667,10.83713885,11.46176316,-13.32521732,6.50522192,12.23604467,0.054131507,-7.444157867,-16.2360085,-35.07040333,-29.87277631,-17.85693484,-14.86088083,-22.11178933
  LDCs: Asia,-4.84358432,22.18726557,25.64257701,29.32361366,5.311846298,4.324473814,-0.977666867,11.21279275,-1.455684425,-21.06792693,-14.5774921,-9.099816138,-19.24873373,-17.14734332,-16.97826581,-23.47345813,-28.53121712,-29.98425933,-24.09958975,-27.0942058,-25.91627565,-33.1822636,-36.86305894,-37.8725869,-52.23703255,-54.96656925,-54.19053283,-62.37750029,-51.29101978,-63.37794662,-67.21613834,-61.39018136,-63.69863529,-64.41628136,-62.98124922,-63.82936692,-67.36682004,-64.10847759,-66.52653931,-65.30739727,-62.71155214,-63.09985259,-55.15750986,-53.78906118,-52.55229441,-48.51531076,-45.66361565,-38.89156107,-35.65565061,-35.78377938,-39.62217944,-34.46100154,-21.71902245,-28.35537213,-24.98836318,-28.88324512,-28.06669909,-23.43190386,-19.08049404,-26.45520493,-29.95027282,-31.29842507,-27.65414989,-33.47121987,-37.72802814,-34.65173049,-39.305732,-40.17061662,-37.97521162,-41.3881275,-41.61388958,-39.67215618
  LDCs: Islands,95.31329598,7.943160908,86.20081561,60.4013208,9.490992625,54.98080279,55.41717107,23.51541885,6.816493919,15.09676882,21.68971802,10.85239385,-6.389325212,-27.2153668,-24.91575818,-16.5141829,-9.168974098,-13.67091829,-14.2485268,-3.663666862,-4.633513082,-4.540746272,-15.96486103,-20.19223998,-34.56457755,-21.88374367,-4.867954597,-29.9868594,-11.18547663,2.926503066,-10.12755686,-7.536568927,-38.9528574,-40.98689146,-41.51018655,-40.58756403,-25.27272889,-41.61964285,-42.84394052,-57.24249423,-47.66598815,-54.51147108,-60.78963442,-55.69792167,-52.49537222,-46.48498016,-45.03390196,-42.35389275,-43.96367997,-43.40737781,-49.5549503,-50.85270373,-61.17047315,-69.99677392,-65.02209155,-70.88433547,-71.60266999,-74.58872552,-74.53278832,-74.86130124,-76.66502208,-79.26240559,-76.30031384,-66.36353583,-68.67637435,-74.03811486,-73.74063415,-74.17291779,-71.02134475,-68.87403308,-63.58419217,-63.21679614
LDCs: Africa,13.22654176,0.356963655,6.761326356,7.952163113,-7.848138791,3.767922394,-7.562852801,-7.867865247,-1.36034878,-17.1739188,-13.94090215,0.697124457,4.183485478,-6.286241839,-0.928805688,9.717912484,12.17620693,5.127241053,12.63832625,7.759279609,10.70577939,23.09867465,19.79514434,7.841401795,5.286760003,10.80861818,8.719786817,-17.76085101,-5.256752611,-9.361316436,-27.75703235,-18.13332921,-26.7275622,-33.91852201,-31.67989308,-22.95253408,-15.06977971,-18.49227423,-27.24940321,-27.17077348,-23.86757975,-17.06481967,-16.70237882,-21.86195616,-30.44447064,-26.99825498,-25.3974323,-21.42728093,-19.62054804,-21.93928012,-31.85111975,-28.01367997,-12.70317561,-21.38924478,-18.72695265,-23.63540713,-12.27153105,-2.945873124,8.663677705,12.61331441,13.55217434,-11.97982844,9.344634567,14.48168053,1.845607954,-5.728439362,-14.76447771,-33.9133031,-28.64611675,-16.04732633,-12.59940842,-20.42007545
LDCs: Islands and Haiti,12.92061907,11.43224617,22.6647229,24.14117564,4.33385883,1.573505926,24.85527889,1.260834922,-4.592573681,-2.052870149,-2.97598601,-6.219772983,-13.74909672,-13.37995338,-1.498517509,-3.120144007,-5.313478056,-1.7985888,-9.788928384,-5.557659022,-4.910346249,-4.326282634,-21.65772803,-20.96661378,-35.33817473,-29.00115584,-24.04217261,-39.30547954,-30.91537708,-18.62206981,-24.50815437,-21.72635063,-39.43857694,-58.80980906,-49.88984819,-55.55741481,-48.52207761,-55.18320857,-46.64093806,-50.51747133,-47.81189519,-52.43854858,-55.9862056,-57.19116805,-62.10739289,-62.27043502,-54.42140251,-68.05978839,-71.23619249,-58.57149336,-56.81406173,-63.19287475,-67.52271944,-72.26995673,-73.07199348,-70.84216948,-70.52746859,-69.8647032,-70.5413808,-71.1799873,-78.33821118,-75.2384129,-79.98853419,-71.7270779,-72.1194666,-74.79168162,-74.24390382,-75.41683771,-71.13869243,-72.76433295,-73.45313573,-69.96728278
LLDCs (Landlocked developing countries),19.18561823,-1.531479893,2.79472785,4.139277636,6.282348917,8.288445754,-11.56771362,-11.29569985,-11.27603888,-20.79136542,-24.380767,-11.08029647,-12.54941438,-11.5525539,-10.34375719,-2.266981763,8.593421559,-0.770484411,3.672049792,-3.525023912,-0.908865788,14.50815154,10.86876731,8.234303223,-3.411346163,7.822528333,3.564052762,-24.31135611,4.959451618,1.170729621,-22.51948428,-11.92960625,-22.44268095,-32.06212717,-31.90236855,-29.59636279,-28.65736804,-31.71727872,-35.86142546,-26.41085621,-26.2398988,-21.93517865,-31.53115592,-31.97996362,-26.00155454,-22.21759103,-18.14927104,-14.86225559,-21.36122456,-17.81373041,-25.30774713,-16.4920596,-6.825960518,-14.23689856,-12.18591258,-10.47717589,-5.698550339,3.268961272,13.52118493,12.96351431,17.75225941,-3.886407596,9.434175178,18.67544688,6.682232874,4.116386649,3.099373125,-17.91209762,-19.85652231,-14.29979016,-10.73205222,-16.10549281
SIDS (Small island developing States) (UNCTAD),-16.22038421,-18.21104337,-12.37772601,-17.6863446,-20.28133653,-5.265401982,-5.585301593,-16.15816512,-15.87135137,-10.4520117,-16.57148279,-20.32250598,-25.05999717,-20.58410865,-20.02255358,-12.50154691,-22.61442147,-28.15908762,-27.89856421,-27.91746839,-26.98208544,-35.61795813,-36.99267357,-38.39108402,-36.74218009,-33.80851222,-17.06325206,-10.99220996,-10.41166427,-8.7885025,-11.3341905,-4.540048866,-20.83032357,-16.03917204,-29.59711746,-24.44069008,-19.63568116,-16.61662039,-24.21333726,-23.11550528,-24.84848207,-30.55643263,-35.92008582,-38.8711725,-37.56809123,-44.0433323,-40.89300905,-40.44585196,-43.23647085,-50.74276375,-52.50719155,-48.32793189,-41.61587462,-43.36166977,-45.60483173,-40.81709674,-40.13787381,-32.65185445,-22.81340125,-33.39001164,-28.0297755,-44.51944265,-38.57899208,-35.21536119,-39.35815599,-32.42372251,-41.32320132,-46.56757613,-54.97338569,-53.2673203,-51.8330115,-56.71561301
  SIDS: Atlantic and Indian Ocean,-0.272381153,0.305785527,-4.39384105,10.10615577,6.620713131,11.54055887,20.58988957,-5.655393858,16.41202495,17.01543066,-3.709360436,-3.412734252,-34.08549477,-15.74034262,-13.55861634,17.96576009,-12.61201683,-19.34957867,-9.215438153,-23.6939309,-20.54930289,-17.9150366,-26.52753414,-38.84845224,-32.77143461,-36.97195298,-15.11546587,-26.81937099,-34.783331,-37.26728421,-43.18220255,-41.90434294,-42.04309666,-52.22199089,-41.16648455,-39.89635703,-40.61257171,-35.78812089,-24.35386486,-30.13461282,-34.74644478,-37.22858985,-36.89917854,-36.25483943,-36.56904566,-40.02447744,-43.54150053,-39.70093127,-37.69799414,-42.74143561,-39.40344609,-46.02621193,-41.76327058,-37.41193392,-34.08396217,-36.09120409,-43.95236896,-48.07561393,-50.78176993,-57.95601651,-61.24928513,-60.67216106,-61.11311845,-61.20395951,-61.21990715,-58.67668898,-59.26815429,-60.50653919,-64.04638899,-67.24291974,-69.39078786,-70.15716817
  SIDS: Caribbean,-25.89105694,-26.54423217,-19.25055507,-26.33980908,-28.68032161,-13.76031598,-13.4414506,-21.63309913,-21.50702065,-16.79715164,-21.29006979,-26.1225018,-25.94813396,-21.13632301,-21.76356328,-17.49762895,-25.15380476,-29.81107108,-30.55144412,-29.36232374,-28.85796159,-39.27908887,-40.08494076,-39.65688652,-36.92846696,-32.49585853,-16.56224456,-8.453452273,-7.036025602,-4.913341208,-6.299420802,2.167658544,-18.63587489,-12.49258942,-29.35388851,-22.89033306,-17.65704913,-12.79103702,-23.73410095,-22.04517467,-21.5096939,-28.66012674,-32.98850626,-38.17698971,-35.34152787,-44.76831612,-39.23898957,-40.4624413,-46.21243754,-54.09623987,-57.3447942,-49.51237119,-41.01479358,-43.56261395,-47.78027685,-39.64928978,-34.95476456,-22.18600201,-6.09471212,-20.56110634,-11.38492519,-34.61174879,-23.88537658,-20.67581744,-27.0771924,-15.07384241,-27.73276479,-36.17575031,-47.73336697,-42.75404111,-39.38032377,-47.35341434
  SIDS: Pacific,22.44422653,7.531332311,25.0261963,1.975973038,-3.078022833,27.17072369,9.183671326,8.432426621,-13.23301744,6.602691919,5.528652751,9.455301937,-3.937719876,-20.8611932,-10.13365703,3.089573591,-10.63577312,-21.01689774,-17.32279739,-18.21131824,-15.14345128,-11.17396109,-12.69955044,-24.92922068,-38.11853238,-41.58830626,-25.12835386,-29.11651449,-37.47485267,-30.02892533,-33.20781138,-32.07383193,-32.45354868,-34.28811696,-22.54591455,-30.1079036,-20.99583226,-31.55231209,-28.76351208,-19.62780821,-29.44070925,-33.34219943,-47.57857204,-47.15601219,-48.69875332,-47.81651374,-43.01071377,-41.68100794,-38.9947423,-45.70587881,-45.97690781,-45.88846932,-45.76740071,-53.63444591,-53.98111601,-55.58898371,-61.3037158,-64.50163154,-68.33775268,-66.07377981,-65.33676716,-68.35557288,-64.46960316,-57.86243452,-55.75997847,-67.64138561,-66.12739619,-67.3055842,-67.15334935,-66.49339719,-65.31827658,-65.414238
SIDS (Small island developing States) (UN-OHRLLS),-6.896348027,-11.28801256,-5.041673836,-5.308650278,-12.14581675,-5.498968887,-9.027564711,-11.69607671,-11.90045587,-12.28993265,-15.80046657,-16.77962233,-14.52239383,-15.50000246,-19.29314306,-20.23564781,-23.67345452,-23.60521636,-26.46492941,-26.37112992,-28.40484934,-30.80066913,-30.08159605,-34.57644233,-30.82674119,-25.53637297,-18.3631822,-19.78098765,-20.72059147,-16.96880193,-17.48912692,-13.54157417,-18.4870264,-19.84421444,-23.57622767,-21.4499924,-19.08168807,-18.84619136,-21.3499123,-19.78072076,-16.71823863,-17.56323173,-17.25505878,-17.26362197,-17.2229434,-17.61301102,-10.96340129,-10.18550497,-10.95086648,-12.8245335,-6.448131605,-8.120905399,-7.062140214,-6.56584609,-6.013401032,2.864327653,2.222474428,2.146623511,2.477833921,1.609832532,-5.086347566,-3.168023391,1.459208523,2.341064469,-1.36347991,0.287062672,0.38884714,5.27698819,2.94634229,2.397388463,0.064255435,-1.917478415
High-income developing economies,-0.519632016,-1.958742094,18.43503831,0.983343117,-7.473784488,3.954890104,1.673306148,0.957687791,7.770347397,-1.029995588,0.750241043,5.406017416,1.564151104,2.576762386,4.64370188,6.134688589,7.802513705,6.175685225,3.731357994,5.211832161,1.000978134,1.448269886,-2.204811685,0.492744728,2.821731028,11.3283736,33.07005367,11.89254297,19.73630077,16.07254233,7.887097877,21.50400972,25.82055344,20.50717078,15.36289966,13.0024016,15.37585577,13.98887386,6.33669259,12.68257725,5.592175776,6.587239975,8.588682457,1.003922338,-1.992201096,-4.768009729,-2.035065274,-2.068925086,-1.34577896,-0.347963657,3.40319459,7.65106513,8.04998339,7.469990114,9.721123736,11.45426333,10.83296119,15.17112795,17.45517738,16.83755995,14.77691127,14.32505721,11.9942863,12.42258067,12.86443783,11.11021802,11.88951885,13.62195822,14.4887565,13.0214298,11.87957113,12.15045338
Middle-income developing economies,-11.61781754,-25.09143834,4.583284485,-0.079729222,-18.8177958,-6.647019573,-4.454762516,-6.072971101,-15.87075932,-24.01419241,-19.47183809,-15.47372357,-24.63400604,-25.27983981,-20.98695073,-12.78639804,-15.37288267,-13.87263516,-13.05219879,-14.57715675,-3.838381833,0.692725529,2.585182844,1.612303513,3.152116514,10.56087747,30.08389761,-4.79736862,11.82172508,7.78348788,-7.595381613,22.2207759,18.68748253,-17.83187334,-22.07061752,-17.07366707,-9.923993144,-4.681292833,-21.05533754,-14.99818793,-21.38964687,-12.60470569,-2.705180148,-6.065859899,-10.12804169,-10.54197914,-12.58804943,-15.9799141,-13.44929054,-13.38799822,-13.89749489,-5.258558195,6.987171537,-1.701949098,0.136850759,-0.832992736,-3.295458503,-2.87262406,1.070856318,-3.026733778,-7.079187803,-13.13187055,-9.468244279,-9.178916864,-11.88983444,-13.68781331,-14.63574185,-22.71861319,-20.8319453,-20.14415894,-20.78951686,-18.61147543
Low-income developing economies,-18.56278851,-20.40509401,-12.17277555,-1.694173835,-12.58200884,-10.17687285,-10.82176011,-11.40515265,-4.087073112,-12.55314147,-12.47528458,-7.78738999,-7.669469488,-16.78830956,-13.22309867,-2.549862647,-5.51499153,-11.23866704,-9.000912118,-5.849102496,-3.980063629,-2.517407147,-2.213649323,-16.29442698,-9.975266613,-9.615268845,-12.9528401,-31.57907174,-27.2730314,-33.19708488,-43.50912223,-35.67743781,-40.28323176,-48.10885549,-44.71824045,-44.37472503,-40.82968518,-43.21909496,-38.67982601,-43.58488381,-41.79516443,-29.68624882,-25.43383046,-31.25433378,-42.50050193,-42.61709009,-41.83185649,-30.79394838,-31.10382158,-26.80156948,-37.55569224,-36.31492709,-27.70078335,-32.35792945,-31.08111615,-36.18461879,-33.92007845,-35.12663409,-30.98419526,-39.05758268,-40.7584148,-45.98977379,-41.05981631,-43.14034591,-48.14557423,-50.21802483,-50.85643218,-58.45745025,-57.4976928,-51.63815946,-51.73317344,-55.42868606
Low-income economies (World Bank),-18.56278851,-20.40509401,-10.7863828,0.100476074,-11.25455676,-8.851737696,-9.506276171,-10.13937073,-2.721802011,-11.2226974,-11.23556515,-6.65552287,-6.597426002,-15.52706643,-11.77166146,-1.923218584,-6.869703067,-12.75560937,-10.84892455,-7.350654697,-5.427276596,-3.732129623,-3.309021584,-17.50359815,-11.46841633,-10.47278185,-14.08138606,-32.42280692,-27.85375902,-33.38523738,-43.68246396,-35.54082694,-40.39689071,-48.67923564,-45.12937177,-45.22484214,-41.73155915,-44.52345289,-39.89443371,-45.21896192,-42.89999615,-31.17923182,-26.80902705,-32.01557194,-44.15455733,-43.7371805,-42.87734106,-31.75037267,-31.70399466,-27.80425072,-38.69264695,-36.90961842,-27.82603888,-32.78071182,-31.44124188,-36.2044486,-33.93709363,-35.05159189,-32.07419587,-40.23404026,-42.29102826,-47.37663091,-42.69631047,-44.77460037,-49.46340021,-51.95477726,-52.10304347,-59.32239845,-58.33977456,-52.29536179,-52.45692206,-56.34505827
Lower-middle-income economies (World Bank),-8.50143708,-24.49893863,7.190794494,3.063722969,-18.96070573,-7.04393473,-5.146611266,-5.721869274,-14.81323908,-21.25955985,-16.90150343,-10.45805436,-21.24450078,-23.97605311,-23.50240483,-19.98761432,-23.01770299,-20.79014831,-20.53308485,-23.23468829,-16.49154537,-11.25986209,-8.609565145,-10.12477311,-4.330967333,4.309522586,13.78413727,-18.28901104,-6.18859039,-8.534308977,-22.04442293,-2.257841915,-3.121592547,-22.07905617,-25.6331714,-23.89697659,-16.2598654,-15.38224979,-25.06756935,-22.4373966,-24.6529873,-18.38207704,-11.98848234,-12.28543978,-12.22544935,-10.83310398,-12.34868164,-16.21471509,-14.96228775,-15.68479622,-13.16237684,-6.861284313,0.489147046,-4.098354488,-1.497274187,-3.972555137,-5.168952093,-9.654056333,-8.602664619,-13.19297528,-17.93919306,-16.50801257,-13.89342934,-13.7696384,-18.50694842,-17.71651165,-16.30065457,-21.3585917,-19.9853423,-20.98249347,-23.81679542,-21.20626597
Upper-middle-income economies (World Bank),1.583308711,-0.817722836,22.60312245,0.60733255,-8.118016861,2.861267933,1.580734173,2.757381546,5.251362907,-1.248430074,-3.937385912,0.61168917,-3.578816974,-0.940009075,4.990636619,6.510709458,4.661100215,6.16940154,5.366576858,6.84363618,4.868186453,6.71014632,1.633305875,0.953206928,-4.749709803,1.443331269,3.689955781,-12.20564436,-2.553343426,1.392002782,-2.444021429,9.911306036,6.087287447,-5.593047271,3.66862436,12.05872288,14.53319188,9.317935001,0.923758173,9.945443078,3.31640262,1.889949691,0.842704606,-0.675693192,-5.733768228,-9.585110827,-3.13328678,-2.012366747,-1.974877517,-0.455100459,-0.252537865,7.868657027,10.62421154,7.020473609,9.175981596,9.869311509,8.305970621,14.42597867,17.8540138,17.02042093,16.80388166,12.65062584,10.64509948,10.1018466,10.70038127,8.050493014,10.55075246,14.37622631,14.02577068,11.63088909,11.61186931,13.04418934
High-income economies (World Bank),-7.221908548,-3.613318337,-9.8443629,-9.253454942,-8.409118761,-7.236161054,-5.928688309,-7.48658704,-6.481990332,-6.532719373,-4.380998719,-5.464281912,-4.310817375,-3.734760014,-5.714998522,-5.789150838,-5.175594542,-5.556425092,-5.89631502,-5.077452177,-4.863582864,-4.976984871,-4.414053677,-3.444067899,-2.616458524,-3.265069433,-4.018397711,-0.585893828,-2.996256814,-3.727276559,-2.387888423,-3.90446371,-3.02951761,-0.049947748,-2.284774323,-3.266646704,-5.038098633,-4.333743017,-2.608343749,-3.506644575,-3.138201514,-3.484374841,-3.259460881,-3.166353604,-2.105897857,0.377696299,-0.323525668,-0.020601938,-0.585242879,-0.746752729,-1.736180419,-3.545692085,-5.502444118,-5.128632147,-4.594207411,-4.635225156,-4.79289482,-5.818813148,-5.981145147,-5.101772945,-5.41246778,-3.191030628,-2.801515942,-2.361604585,-2.380636579,-0.592082282,-1.838921698,-3.430739601,-3.259698032,-3.003873891,-3.308341976,-3.896634054
High-income OECD members (World Bank),-6.734583151,-2.771823776,-10.49277001,-9.777943356,-8.695533554,-7.90028246,-6.52246831,-7.907582389,-6.844388711,-6.419352458,-5.001750598,-5.936598519,-4.619399744,-3.978598116,-6.105417559,-6.260194699,-5.678912755,-6.019340423,-6.471025107,-5.628381744,-5.565461859,-5.454904125,-4.828161548,-4.54478391,-4.168138707,-5.245141877,-10.9123132,-5.571958259,-8.383583916,-8.247680904,-5.310384525,-8.798259099,-10.06839621,-7.118755652,-5.762413981,-4.939583285,-7.117894123,-6.547881158,-3.823049399,-4.940145116,-3.660374539,-4.773861641,-4.901035624,-4.29411843,-2.737871826,0.265326389,-0.594254192,-0.034988126,-1.211801847,-1.01283844,-1.867006926,-4.729446439,-7.837742204,-7.198881803,-6.719938456,-7.20047999,-7.495968504,-9.601139297,-10.04720387,-8.636557863,-9.271812528,-6.21683052,-6.466677206,-7.139076258,-7.605169323,-5.142363573,-5.701117698,-5.601015091,-5.326514521,-5.562438591,-6.521054522,-6.632844764
High-income non OECD members (World Bank),-14.37048269,-15.33000383,-1.96795483,-2.899099034,-4.659633052,2.089580833,2.56545469,-1.323000357,-0.976773327,-8.24757242,5.03116963,2.19194271,1.050825111,0.543636452,1.325359792,3.027139842,5.114582807,3.919845234,5.991405303,6.079367512,9.936882297,4.685602049,3.997075054,17.57710095,27.47595422,32.64939,104.7011703,74.43925647,68.30435134,50.3260682,31.17696431,52.90171565,70.28489889,63.21146401,26.46410414,10.99866845,14.36492797,19.50935127,11.81021676,12.54188836,2.024845116,9.172198288,13.42572945,6.771678254,2.859872072,1.152036256,1.573726957,0.080586238,3.818198232,1.060829096,-0.713346788,6.143678499,12.50872806,11.79660671,12.67897217,16.2917858,16.47613591,23.368365,24.93710325,21.34610173,21.93671229,17.08733833,20.72424598,27.93669949,28.28006975,24.73050779,19.89704089,8.561764994,8.508893311,11.80439942,15.84197073,12.36539725
HIPCs (Heavily indebted poor countries) (IMF),27.80910684,-0.979865403,11.77830205,9.54685015,-0.500627992,8.832576182,3.1680709,-3.340649148,-1.016447064,-15.07374776,-9.16195851,-0.511901823,-0.366742732,-8.056062554,-0.849488078,7.858309777,10.42199808,1.385002864,6.166103241,4.030137226,12.32535293,19.62273018,15.07532113,6.938544231,6.00347368,10.94071689,7.639657654,-16.39085891,1.368452939,0.506668223,-15.30978285,-5.232474605,-14.51135492,-22.74908683,-20.18656489,-17.82561521,-8.226608052,-16.11507596,-19.26067189,-24.18882006,-19.88030981,-13.5098032,-15.66960254,-18.88126431,-25.5795337,-26.10903708,-18.52514423,-16.07840107,-19.79744674,-17.80268687,-21.91818647,-28.90166219,-24.18661359,-28.52514269,-25.50036718,-25.48472639,-22.66661036,-24.82684964,-20.36867071,-28.10710496,-30.67142251,-29.06793177,-24.36888402,-22.85198495,-28.85413326,-32.22378549,-31.12022217,-37.71238373,-33.65013642,-26.57964284,-27.1047338,-28.07212756
LIFDC (Low-income food-deficit countries) (FAO),-9.838703065,-30.06768472,-6.182375139,-7.914638909,-25.32633726,-15.15166346,-14.00553353,-13.17663256,-16.26458954,-24.39512625,-19.76454331,-18.91976054,-24.3534373,-26.99205741,-23.91226489,-19.25354296,-21.47643158,-24.70404082,-25.96704881,-24.38650785,-17.24304307,-14.18819269,-10.00182699,-20.53014904,-13.06082136,-15.01262387,-21.20370361,-33.39008492,-18.46418259,-20.04156746,-31.54835585,-29.12465832,-39.44360655,-44.97985331,-40.11952754,-38.88315015,-37.04327959,-39.56792553,-36.68389545,-37.25157985,-35.54284954,-28.06983416,-23.9886338,-23.97177512,-27.06893921,-24.03603696,-23.11928488,-21.60292387,-23.06602031,-20.6883891,-25.67780308,-24.78028651,-18.65680311,-19.93890083,-17.83712422,-22.24386835,-23.62082801,-27.87996062,-27.53938903,-32.07771796,-35.21458491,-32.96250292,-31.21116498,-30.8813293,-34.25201543,-30.07722349,-28.45022456,-29.9045233,-25.29996345,-27.41343056,-29.17191053,-26.59848356
Selected LIFDC (Low-income food-deficit countries),-14.08557972,-36.69368784,-9.646599592,-10.00131607,-28.76656244,-17.76815011,-16.64320074,-15.293688,-21.84495625,-28.38259802,-23.89409668,-27.1139671,-33.39129775,-31.28330024,-30.15922787,-26.04239434,-29.27656929,-31.64691562,-33.78334309,-33.60345595,-27.79775796,-24.44156165,-20.0192075,-30.94543391,-21.78062522,-24.94882756,-29.73868539,-38.9323883,-21.40584211,-20.85710449,-31.79399035,-32.05777893,-43.26482085,-48.20260043,-41.75222716,-41.43735406,-39.78012336,-42.39552739,-39.21624802,-39.44134315,-39.47460585,-28.98867276,-26.39200014,-22.2657458,-25.68329597,-20.98418565,-23.0121777,-25.44783728,-24.47721258,-22.27133224,-26.21858061,-25.76911838,-20.89171683,-20.16731214,-17.48949496,-23.48370091,-25.56258405,-29.8025757,-29.88938133,-34.54446366,-37.65059423,-34.59840565,-33.84044769,-32.95744904,-34.76890317,-29.68018742,-28.07339506,-28.29509493,-23.5634006,-27.73339514,-29.47490023,-26.01943987
Selected exporters of petroleum,12.72366916,9.815940191,40.84807334,34.43958682,24.65101525,27.83184657,25.95700797,30.68896361,26.29175017,18.33317724,17.68117885,17.2045688,13.61462797,17.88687876,29.47911911,32.15832138,31.35120892,29.62093504,35.45529112,43.48027608,40.85894348,40.58888162,38.12081528,48.02319879,29.86578002,42.30071014,134.5442036,48.6119646,52.64372397,41.09760592,22.07394595,65.69072819,83.801259,50.86480032,27.60690873,19.93226915,24.14651904,24.87792982,7.324256333,20.92332792,6.489271224,13.724041,22.85978639,24.07966817,19.12436521,24.16959146,41.42354356,38.27436675,53.86298991,42.89805916,14.79025304,64.14654177,123.2300096,75.3567597,77.52998148,84.64232677,92.36043986,113.3677711,117.9611084,94.18747983,104.8326317,63.95932279,85.55456484,108.2174068,100.2422869,84.54779009,76.88721364,34.15822307,32.00704151,52.20534133,80.38284889,59.95731781
Selected exporters of manufactured goods,-13.03035753,-26.68031789,3.100256287,-5.291346349,-23.02738235,-21.13012875,-17.57289436,-15.50511059,-17.15479591,-21.88083193,-17.78232211,-12.5600551,-22.87429308,-22.28438537,-21.71044817,-22.0162911,-22.37086801,-21.36975877,-22.49275228,-25.89672553,-25.2849029,-21.658994,-24.3713536,-21.62949331,-15.59254524,-13.23968949,-26.51231643,-30.82295937,-17.4237731,-15.76185969,-17.45968803,-17.8486921,-20.276698,-20.03770072,-11.19881119,-5.799873356,-3.336871441,-8.242953486,-2.363756884,3.366606972,-3.718057248,-5.610531227,-6.546826034,-7.213884012,-8.62796954,-10.31527819,-7.862223616,-6.409803037,-7.623664897,-4.599761428,5.851562476,4.577342418,0.219290404,1.361685451,2.127021666,2.333838254,0.609745942,1.819362847,3.408685379,4.192502968,0.63851601,3.366317903,0.269093329,-2.404377571,-1.552569411,-0.693596708,2.636380595,9.80779278,9.267382291,4.70982515,1.468121362,3.859657635
Selected exporters of manufactured goods and primary commodities,-8.948852257,-26.1979036,-2.329306219,-19.02806908,-30.43407869,-19.54914722,-18.26174331,-22.14892612,-16.56484629,-22.87960236,-19.39499278,-9.243641875,-22.82651248,-24.79688493,-17.9323648,-15.31307991,-15.10615917,-13.62701463,-14.2884833,-21.48224823,-24.77318427,-24.9902885,-27.45160364,-25.06443698,-18.26549794,-13.38802352,-29.3126672,-35.7318099,-21.58612513,-21.2779698,-19.89588253,-23.7928441,-24.58596303,-20.1757735,-4.788893565,1.830158826,2.753739313,-4.382377929,0.995087572,7.695727455,1.110116005,-2.942688539,-3.883249968,-5.360785838,-9.426186895,-13.76417131,-9.2852457,-4.934558393,-8.287025961,-3.328573524,6.768950739,5.711858758,0.607732212,2.329266886,3.636385822,2.210537826,0.991470814,2.858295094,5.909239351,7.502478041,3.416445931,8.02104607,3.686698676,0.124222739,2.361340376,2.957813189,7.286617367,15.6536997,14.04550658,8.955350565,5.403078489,8.319775875
