YEAR,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ECONOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual economies,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
America,28.77801695,26.48056722,5.772050878,5.392767334,3.03231223,3.97463191,6.628851994,5.115144521,8.695881917,9.963419181,2.12566284,-4.400189687,7.874548067,10.75651702,7.253274642,11.40926625,15.60198689,8.677811658,2.753414353,4.428962311,-2.119700038,-2.114794431,3.137688518,-7.329040457,-11.49846016,-1.74555622,-7.695134676,-5.085228876,-9.788296835,-15.35865708,-15.20119254,-10.65546456,-8.780855457,-9.216054271,-5.878758084,-6.907889157,-15.59089818,-18.98073238,-25.72369101,-25.18819105,-17.42680425,-14.79675467,-12.90220756,-10.68000754,-14.02086625,-17.06270682,-18.56142458,-15.15112024,-14.72967159,-16.46058787,-21.02320823,-23.24533626,-24.66873913,-24.89705282,-26.98690422,-27.5856974,-28.49673839,-28.75623509,-27.52781416,-25.71320133,-24.580767,-21.04950392,-21.76682784,-20.4620492,-20.7326061,-20.57328398,-21.43645572,-24.96126766,-24.0934126,-23.42984025,-24.04137228,-23.50264209
  Northern America,46.49038954,44.8190743,1.964370003,11.33879818,10.67308711,0.421414656,9.213809077,7.609774435,11.65491504,19.04229753,6.677499939,-5.103877134,13.04972542,19.0473485,12.93974977,16.20121858,21.38685874,10.32668281,3.951028559,5.724062121,-1.028426347,-1.436077634,5.648820053,-4.568576685,-10.95007495,-1.224941318,-7.548562891,0.521856051,-8.981131891,-17.75511969,-16.4711585,-12.37394913,-8.332828547,-9.405172857,-8.228686704,-15.72989229,-25.98792822,-28.55247928,-32.18042629,-31.91468382,-23.26020584,-20.78913001,-18.64776221,-13.37728911,-14.79498775,-17.90523181,-19.75019568,-17.29537614,-17.12672641,-17.89473971,-22.12464579,-27.03251042,-29.65439879,-29.71859504,-33.8060596,-35.59497604,-37.35683116,-38.64118385,-37.92732021,-34.95155161,-32.66430257,-29.14479139,-29.79991843,-29.18592629,-28.88068594,-27.37729342,-27.4203679,-30.36110177,-30.89407677,-31.0616456,-31.46774213,-31.06603989
  Latin America and the Caribbean,1.672027041,-3.435347942,13.46028912,-5.110936649,-10.67743651,11.52227047,1.914376538,0.287289965,2.457117331,-7.19773054,-6.867057576,-2.710128443,-3.665415302,-6.469876632,-5.29511315,0.284979393,1.733354267,4.195604235,-0.783593878,0.581921054,-5.696840922,-4.337790462,-4.727644683,-16.11792531,-13.43484041,-3.481096608,-8.106262874,-19.32317589,-12.17326203,-7.85657066,-11.11702099,-5.257604543,-9.939601115,-8.724904008,0.973593006,28.05132633,34.76665437,30.51976244,9.184430266,11.46925632,13.77554899,16.84841531,16.60437918,1.317901265,-10.92056901,-13.72874476,-14.00761177,-7.030498465,-6.094797311,-11.65607357,-17.35365513,-8.737969462,-5.371107026,-7.035721926,0.41502993,6.098763047,7.160069108,9.046022384,9.582559637,3.641763346,-2.019784279,1.536043615,-0.483546111,1.256832597,-0.389318316,-4.215468638,-6.518594282,-10.58650261,-4.7046158,-1.961126666,-3.694057506,-2.27503191
    Caribbean,-0.638373873,-6.501176496,-3.326236212,-6.540407424,-14.28930575,-3.694418789,-9.896184853,-11.61306124,-12.07242209,-12.28048587,-17.46087854,-20.47689204,-12.77414326,-13.85197358,-21.74995294,-24.04056399,-24.07086699,-21.03761676,-28.74142814,-27.08302574,-30.96826947,-36.60922262,-27.4684788,-34.47699388,-30.34380628,-23.55107305,-12.05992643,-9.008538844,-15.56040037,-11.51344864,-10.38881749,-5.281185127,-17.73080344,-14.97249338,-21.476572,-17.69670219,-20.12671051,-23.00440952,-30.03382173,-28.56085817,-27.11182984,-29.86172461,-21.45509355,-27.49717214,-27.20031314,-37.96877671,-32.93294002,-36.34840814,-40.86454107,-44.55729636,-50.13761624,-47.06921459,-42.92264648,-42.62213098,-48.27867158,-42.97792841,-38.73214382,-39.03549527,-35.58449279,-39.60961795,-42.58035318,-51.26765646,-49.5326884,-40.96138675,-45.67525931,-41.78226669,-46.54689573,-52.22343443,-56.6374277,-55.08421662,-55.79695108,-57.48459258
    Central America,-7.560538269,-6.954293142,-1.937807909,-16.4029122,-14.57666178,-19.36947598,-8.189754348,-11.88024424,-21.66571885,-31.54189429,-30.67736984,-23.20227674,-32.20454443,-25.84688402,-19.75299655,-22.23584083,-27.15603479,-26.12227008,-24.42966763,-31.43997203,-29.86851672,-27.09936879,-35.44345124,-33.47676622,-30.65709246,-34.17637944,-45.70919812,-46.99250926,-34.47685657,-20.3004438,-25.33642886,-24.04550777,-21.76155907,-22.05908987,17.56963095,62.17279981,43.26908445,20.42769327,10.84081698,19.67148889,-2.738416609,-8.953846523,-11.85319471,-21.23686653,-30.92236372,-26.64400663,-28.31873489,-1.18954935,-1.964106966,-7.187226694,-13.05159819,-10.54779147,-10.94712335,-12.71273147,-11.81856631,-10.60706898,-12.12886964,-11.2178096,-10.47874897,-12.24314044,-14.78578573,-9.986605054,-9.405744474,-9.240045211,-8.507486257,-9.386448294,-10.01259207,-12.23683705,-11.19525268,-10.82227816,-11.2131923,-7.557752646
    South America,4.208382719,-1.832565979,23.58620877,-2.319306104,-8.463869588,25.6765218,8.49782052,7.875172947,15.68440933,1.516081752,5.001902501,10.8525545,8.435515347,1.651827643,5.375576648,19.19646594,25.92862125,27.99372603,20.32480252,26.20694174,14.86414176,18.40169931,17.40796877,-2.398885524,-1.043404917,15.73429199,6.136633064,-14.58558129,-3.641661289,-2.839283404,-6.714132999,1.429020069,-1.437590464,0.81861491,4.385485197,38.88385767,60.145352,62.52377328,26.50748488,22.77118766,40.1011965,58.1504573,54.33191478,29.3066008,10.6688547,2.105346054,1.828456767,-6.533388626,-3.594032182,-10.06769879,-15.91746641,1.472433901,10.62459571,8.380057125,33.08437589,44.76720985,42.74520318,44.12287909,41.78680597,26.84655987,14.7890016,18.85833146,12.4540641,14.14672891,10.87622681,3.86606437,0.804239292,-3.816367635,10.28072301,15.41900585,11.71280711,11.47609806
Asia,-12.47278236,-22.51540656,11.18967028,1.459021949,-16.95258384,-14.71740625,-7.048485925,-3.629637568,-5.420220809,-15.38901868,-2.464020797,-0.83497241,-10.03160008,-14.47199639,-9.112891125,-9.996600326,-10.15578367,-4.102056769,-5.117658215,-8.650425341,-4.993765416,-2.362543018,-3.506959676,11.10196927,10.60998425,3.315162294,22.49113303,10.09633571,19.22457598,17.49530562,13.0907225,13.96199697,18.45578232,14.1850357,5.364726324,2.031301676,6.985304905,9.323516918,15.21432376,17.619999,9.862569712,8.500376673,7.502736395,6.168177807,7.793343596,6.55570852,7.916701938,3.827366555,0.566894285,4.295298351,13.43399852,14.87014709,13.34560142,10.07076868,11.70010811,11.66700538,10.30466751,11.55281026,13.85106146,14.20256176,10.64978868,9.951783634,9.187407592,7.595136068,6.762398577,6.264310721,7.382189633,9.867194066,10.2960985,7.709507674,6.078304821,6.428352461
  Central Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-7.751649518,-5.199688553,3.044568147,26.63815586,11.19103724,15.17391423,4.215916491,20.24077148,43.46370897,19.80260561,30.71634758,39.16617811,38.15541837,48.20440943,55.56466603,40.7578616,60.83398613,23.6200118,57.88928241,82.28091665,51.60808722,42.05560322,47.95153057,19.80727326,13.95349666,29.46998749,39.11685424,19.00491351
  Eastern Asia,-33.04612729,-39.48211459,-11.947567,-30.08925521,-35.37195954,-41.27299637,-30.56489674,-25.76885926,-21.34006916,-26.84371935,-9.596061076,-6.507641105,-14.64148308,-23.19065707,-11.7213499,-15.80512662,-12.60285615,-1.922415359,-3.742353222,-12.30309128,-6.088536514,-0.848349277,-4.327511906,10.88663746,14.31872083,-3.101784547,-13.0988673,-7.017056897,1.91303693,8.638788725,11.13957747,-8.695071455,-8.940753584,0.041585007,3.03988079,9.840129262,14.64504434,15.34597755,33.23041596,30.2819082,19.38327681,14.32906474,12.92736023,15.06075704,17.85350687,16.66956353,15.37165116,11.11366904,4.933867251,10.22115059,22.82231858,18.83110827,11.91197838,8.736387292,12.08452051,10.81633875,10.41619431,10.81262204,11.91485255,14.69531469,9.732339264,11.01279167,8.537867013,2.936522052,3.156666107,2.846891096,6.175744199,18.20816772,19.12098511,14.29348447,8.97947343,10.36899664
  South-eastern Asia,-12.03570297,-16.10293284,25.63376954,17.80201746,-6.783579895,-8.630906597,-3.380920862,3.206516426,-3.311681684,-9.811157503,-4.987225537,8.543408982,0.848829568,-11.81883954,-9.526248006,-6.563674919,-11.95505322,-11.97199638,-10.30161992,-20.87303482,-22.28982385,-19.96783007,-22.28305485,-24.7005062,-22.32843284,-8.538641404,-0.066788109,-11.46807675,0.631465482,6.875726657,3.004075537,11.1014419,9.559548583,-1.157371974,-6.978609039,-7.753087774,3.896366276,8.91227703,4.167787372,2.685916418,-0.817302539,-4.322881463,-11.20944004,-10.0030099,-7.690382252,-8.102141504,-6.788154822,-9.541436258,-9.355695736,-6.806545735,15.27823506,16.79312545,13.0207007,11.54311319,11.09896086,15.25621612,10.75834776,8.914849971,11.91984362,11.61335961,5.401107451,11.90105094,10.14387791,7.353656712,2.436445787,2.186570332,4.155161906,6.25523417,5.757624887,4.519850742,1.303498002,2.445860638
